title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
92 Perry Street #14,10014,656,2.0,1.0,1,849000
720 Greenwich Street #6D,10014,1000,1.0,1.0,1,1295000
720 Greenwich Street #3D,10014,1000,1.0,1.0,1,1295000
9 Barrow Street #7F,10014,725,0.0,1.0,1,939000
88 Charles Street #3D,10014,500,1.0,1.0,1,648000
377 West 11th Street #PHD,10014,2700,2.0,2.0,1,3500000
115 Charles Street #7,10014,500,1.0,1.0,1,650000
9 Barrow Street #4G,10014,500,0.0,1.0,1,650000
92 Perry Street #18,10014,656,2.0,1.0,1,855000
61 Horatio Street #4F,10014,550,1.0,1.0,1,718000
45 Christopher Street #8AG,10014,1800,3.0,2.0,1,2350000
223 W 10th Street ,10014,402,1.0,1.0,1,525000
25 Charles Street #1D,10014,650,1.0,1.0,1,849000
321 West 13th Street #2B,10014,1200,2.0,1.0,1,1595000
345 West 13th Street #5F,10014,2886,3.0,2.0,1,3750000
247 West 12th Street #5A,10014,2100,2.0,2.0,1,2750000
421 Hudson Street #718,10014,900,1.0,1.0,1,1185000
88 Horatio Street #5B,10014,300,0.0,1.0,1,395000
36 Bethune Street #W,10014,265,0.0,1.0,1,350000
92 Perry Street #6,10014,658,2.0,1.0,1,875000
45 Christopher Street #8AG,10014,1800,3.0,2.0,1,2395000
165 Perry Street #1A,10014,1800,1.0,1.0,1,2395000
299 West 12th Street ,10014,400,,1.0,1,499000
147 Waverly Place ,10014,1916,2.0,3.0,1,2550000
225 West 10th Street #4A,10014,480,1.0,1.0,1,639000
111 Barrow Street #5D,10014,1500,1.0,2.0,1,1999000
421 Hudson Street #315,10014,900,1.0,1.0,1,1200000
147 Waverly Place ,10014,1461,2.0,2.0,1,1950000
380 West 12th Street #5C,10014,1100,2.0,2.0,1,1475000
720 Greenwich Street #4C,10014,740,1.0,1.0,1,995000
421 Hudson Street #715,10014,780,1.0,1.0,1,1049000
41 Seventh Avenue South #3,10014,1111,2.0,2.0,1,1495000
571 Hudson Street #1A,10014,1300,2.0,2.0,1,1750000
350 West 14th Street #7A,10014,572,1.0,1.0,1,772000
77 Perry Street #5A,10014,500,1.0,1.0,1,675000
350 West 14th Street #5C,10014,629,1.0,1.0,1,879000
2 Cornelia Street #601-701,10014,819,1.0,1.0,1,1150000
380 West 12th Street #2E,10014,1400,2.0,2.0,1,1895000
2 Jane Street #6B,10014,700,1.0,1.0,1,950000
41 Perry Street #2B,10014,350,0.0,1.0,1,475000
695 Washington Street #1A,10014,1470,2.0,2.0,1,1995000
421 Hudson Street #315,10014,803,1.0,1.0,1,1060000
380 West 12th Street #3C,10014,1100,2.0,1.0,1,1495000
345 W 13th Street #1C,10014,4154,3.0,3.0,1,5650000
421 Hudson Street #613,10014,804,1.0,2.0,1,1100000
41 Perry Street #5D,10014,400,1.0,1.0,1,545000
421 Hudson Street #523,10014,1060,3.0,2.0,1,1900000
396 Bleecker Street #1G,10014,350,0.0,1.0,1,478000
147 Waverly Place #3W,10014,1459,2.0,2.0,1,2000000
102 Charles Street #HOUSE,10014,5153,,0.0,1,7900000
256 West 10th Street #1D,10014,2400,3.0,2.0,1,3295000
211 West 10th Street ,10014,550,1.5,1.0,1,756000
163 Charles Street ,10014,4000,4.0,3.0,1,5499000
130 Jane Street #4A,10014,800,1.0,1.0,1,1100000
12 Bank Street #3,10014,600,1.0,1.0,1,825000
134 West 10th Street ,10011,2140,3.0,3.0,1,2950000
130 Jane Street #3J,10014,1300,2.0,2.0,1,1795000
147 Waverly Place #4E,10014,1919,2.0,3.0,1,2650000
345 West 13th Street #1A,10014,1800,1.0,2.0,1,2495000
225 West 10th Street #1C,10014,432,1.0,1.0,1,599000
21 Cornelia Street ,10014,3892,,,1,5400000
45 Christopher Street #3F,10014,900,1.0,1.0,1,1250000
227 West 11th Street #4,10014,450,1.0,1.0,1,625000
350 West 14th Street #5A,10014,572,1.0,1.0,1,795000
61 Horatio Street #4F,10014,500,1.0,1.0,1,695000
2 Cornelia Street #306,10014,773,1.0,1.0,1,1075000
350 West 14th Street #3B,10014,538,1.0,1.0,1,749000
345 West 13th Street #2B,10014,2080,2.0,2.0,1,2925000
79 Perry Street #1F,10014,600,1.0,1.0,1,840000
421 Hudson Street #306,10014,1279,3.0,2.0,1,2100000
134 West 10th Street ,10011,2140,3.0,3.0,1,3000000
147 Waverly Place #4W,10014,1461,2.0,2.0,1,2050000
692 Greenwich Street #PH5,10014,1563,2.0,2.0,1,2195000
147 Waverly Place #5E,10014,1922,2.0,3.0,1,2700000
377 West 11th Street #3A,10014,3200,3.0,2.0,1,4500000
